Column0,Compound,myY,Fit,AbsResidual
222417,Na1Sc2Zn1,2.9894,3.190404018211366,0.20100401821136638
41846,Au3Cu1,5.0379,5.282642571210863,0.24474257121086307
202053,La1Pd1Y1,5.4968,5.966650501108171,0.46985050110817106
144723,Cu12Sn10,5.8626,5.882201716518404,0.019601716518404366
25482,Al1O3Pt1,4.8865,4.477603147411348,0.4088968525886516
112227,C2Hf4In2,6.4258,6.3596988406658195,0.06610115933418026
129546,Cr1Hf2Si1,6.6825,6.821869140625002,0.13936914062500172
138108,Cu2I2,3.2321,3.3822030894279496,0.1501030894279496
110459,Cd2Se8Yb4,0.2317,0.6675744731426254,0.4358744731426254
129407,Cr1Hf1Mg2,4.2122,4.6772410825252555,0.46504108252525533
124512,Co1Ni1W1,5.6968,5.983754026889803,0.286954026889803
183382,Hg1Re2Si1,7.3831,7.349168359947207,0.03393164005279292
151359,Fe2Nb1Si1,10.3439,9.991143796205522,0.3527562037944776
242773,Re2Se1Tc1,8.5261,8.66812023215294,0.1420202321529409
128355,Cr1Fe2Sc1,5.9562,6.036444018411638,0.08024401841163797
68198,Be1Ir2W1,7.5565,8.045964104604723,0.489464104604723
122776,Co2Li16O12,0.0079,0.742753554129602,0.734853554129602
177845,Hf2Pb1Rh1,7.1239,7.312652201318743,0.18875220131874304
36090,As1Mg2Mn1,4.9413,5.419696646451952,0.47839664645195157
249401,Te3,5.6321,5.829344339942934,0.19724433994293378
136642,Cu1Ga2Zr1,7.4071,7.641067726612093,0.23396772661209297
28764,Al1Tl1Zn2,4.878,5.393021922302248,0.5150219223022479
32791,As1Cu1Sb2,7.8059,7.745491799831393,0.060408200168607706
78648,Bi2K1Mn1,5.2095,5.379280214405061,0.16978021440506108
157825,Ga1Hf2Ir1,6.3081,6.525151907777788,0.2170519077777886
246360,Se1Si2Y1,6.0626,6.36419605355263,0.30159605355262986
193130,Ir2Re1Sb1,9.6803,9.630525806617738,0.04977419338226241
134315,Cr1Si1Ti2,7.5985,7.918023439693453,0.3195234396934534
30475,As1Br1Cu1,4.5451,4.999360509777071,0.4542605097770709
204977,Li3N1,0.1563,0.5645701478481308,0.40827014784813076
16387,Al2Cl1Tl1,5.8203,6.247359269428255,0.42705926942825556
225522,Nb5Se8Sn1,7.4361,7.182795683383944,0.253304316616056
128228,Cr2Fe1Ni1,6.6864,6.856697331905367,0.1702973319053669
226559,Ni1,7.8476,7.827143439006807,0.020456560993192596
219169,Mo1Ru2V1,8.1349,7.905768030405047,0.2291319695949534
57218,Ba1Pt1Te2,5.3803,5.696634209346773,0.31633420934677314
127999,Cr1Cu1W2,7.0653,7.274809062385561,0.20950906238556133
233667,Os1Si2V1,9.6536,9.720183694744112,0.06658369474411074
201224,La1Ni1Tl1,7.1888,7.5039168503761315,0.3151168503761319
241188,Pt1Ru1Se1,6.3292,6.577015057468416,0.24781505746841592
204756,Li1Mn1Te2,3.0905,3.4910739583492294,0.4005739583492294
133714,Cr1Rh1Tl1,5.1794,5.610570058155061,0.43117005815506104
69035,Be1Mg1Sb2,6.8507,7.005770864009859,0.15507086400985948
193254,Ir1Rh2Ta1,7.0872,7.384182086467745,0.2969820864677448
138977,Cu1K1Nb2,7.7656,7.837658447074892,0.07205844707489195
129030,Cr2Ge1Ir1,8.8163,9.160189939403535,0.3438899394035353
38286,As8Rh4,5.9624,6.163444906997682,0.20104490699768274
50422,Ba2Cu1O6U1,3.6986,3.778445861816408,0.07984586181640818
235920,Pb1Ru1Zr2,6.6247,6.806917420291903,0.18221742029190313
93370,B2Sn1W1,6.8364,7.136544974708559,0.3001449747085587
39030,As4Si2Zn2,3.4867,3.4347277125835434,0.05197228741645654
182526,Hg1Os1Sr1,2.5089,2.853246153068544,0.3443461530685439
113883,Cl6Fe2P2,0.8118,1.5414071372985856,0.7296071372985856
140784,Cu1Mo1Re1,5.1032,5.747656400394441,0.6444564003944411
34579,As1Hg1Se2,4.5618,4.790147342920305,0.2283473429203049
196374,K8O48P12Ti8,2.5473,2.148087205791475,0.39921279420852507
8996,Ag24O16Sr4,0.728,1.1127975405931487,0.38479754059314875
