,Compound
9699,Ag1P1Tc1
9700,Ag1P1Tc1
9701,Ag1P1Tc1
9702,Ag1P1Tc2
9703,Ag1P1Tc2
9704,Ag1P2Tc1
9705,Ag1P2Tc1
9706,Ag2P1Tc1
9707,Ag2P1Tc1
9708,Ag1P1Te1
9709,Ag1P1Te1
9710,Ag1P1Te1
9711,Ag1P1Te2
9712,Ag1P1Te2
9713,Ag1P1Te2
9714,Ag1P1Te2
9715,Ag1P2Te1
9716,Ag1P2Te1
9717,Ag1P2Te1
9718,Ag1P5Te8
9719,Ag20P4Te12
9720,Ag2P1Te1
9721,Ag2P1Te1
9722,Ag2P2Te4
9723,Ag2P2Te4
9724,Ag2P2Te4
9725,Ag2P2Te8
9726,Ag2P2Te8
9727,Ag2P4Te2
9728,Ag3P3Te6
9729,Ag3P3Te6
9730,Ag4P24Te8
9731,Ag4P24Te8
9732,Ag4P4Te12
9733,Ag4P4Te4
9734,Ag4P8Te12
9735,Ag4P8Te24
9736,Ag8P4Te8
9737,Ag1P1Ti1
9738,Ag1P1Ti1
9739,Ag1P1Ti1
9740,Ag1P1Ti2
9741,Ag1P1Ti2
9742,Ag1P2Ti1
9743,Ag1P2Ti1
9744,Ag1P2Ti1
9745,Ag1P6Ti1
9746,Ag2P1Ti1
9747,Ag2P1Ti1
9748,Ag12P8Tl4
9749,Ag12P8Tl4
9750,Ag1P1Tl1
9751,Ag1P1Tl1
9752,Ag1P1Tl1
9753,Ag1P1Tl2
9754,Ag1P1Tl2
9755,Ag1P2Tl1
9756,Ag1P2Tl1
9757,Ag2P1Tl1
9758,Ag2P1Tl1
9759,Ag3P2Tl1
9760,Ag4P4Tl4
9761,Ag4P4Tl4
9762,Ag4P8Tl12
9763,Ag6P12Tl6
9764,Ag1Pt1Re1
9765,Ag1Pt1Re1
9766,Ag1Pt1Re1
9767,Ag1Pt1Re2
9768,Ag1Pt1Re2
9769,Ag1Pt2Re1
9770,Ag1Pt2Re1
9771,Ag2Pt1Re1
9772,Ag2Pt1Re1
9773,Ag1Pt1Rh1
9774,Ag1Pt1Rh1
9775,Ag1Pt1Rh1
9776,Ag1Pt1Rh2
9777,Ag1Pt1Rh2
9778,Ag1Pt2Rh1
9779,Ag1Pt2Rh1
9780,Ag2Pt1Rh1
9781,Ag2Pt1Rh1
9782,Ag1Pt1Ru1
9783,Ag1Pt1Ru1
9784,Ag1Pt1Ru1
9785,Ag1Pt1Ru2
9786,Ag1Pt1Ru2
9787,Ag1Pt2Ru1
9788,Ag1Pt2Ru1
9789,Ag2Pt1Ru1
9790,Ag2Pt1Ru1
9791,Ag1Pt1Sb1
9792,Ag1Pt1Sb1
9793,Ag1Pt1Sb1
9794,Ag1Pt1Sb2
9795,Ag1Pt1Sb2
9796,Ag1Pt2Sb1
9797,Ag1Pt2Sb1
9798,Ag2Pt1Sb1
9799,Ag2Pt1Sb1
9800,Ag1Pt1Sc1
9801,Ag1Pt1Sc1
9802,Ag1Pt1Sc1
9803,Ag1Pt1Sc2
9804,Ag1Pt1Sc2
9805,Ag1Pt2Sc1
9806,Ag1Pt2Sc1
9807,Ag2Pt1Sc1
9808,Ag2Pt1Sc1
9809,Ag1Pt1Se1
9810,Ag1Pt1Se1
9811,Ag1Pt1Se1
9812,Ag1Pt1Se2
9813,Ag1Pt1Se2
9814,Ag1Pt2Se1
9815,Ag1Pt2Se1
9816,Ag2Pt1Se1
9817,Ag2Pt1Se1
9818,Ag1Pt1Si1
9819,Ag1Pt1Si1
9820,Ag1Pt1Si1
9821,Ag1Pt1Si2
9822,Ag1Pt1Si2
9823,Ag1Pt2Si1
9824,Ag1Pt2Si1
9825,Ag1Pt5Si1
9826,Ag2Pt1Si1
9827,Ag2Pt1Si1
9828,Ag1Pt1Sn1
9829,Ag1Pt1Sn1
9830,Ag1Pt1Sn1
9831,Ag1Pt1Sn2
9832,Ag1Pt1Sn2
9833,Ag1Pt2Sn1
9834,Ag1Pt2Sn1
9835,Ag2Pt1Sn1
9836,Ag2Pt1Sn1
9837,Ag1Pt1Sr1
9838,Ag1Pt1Sr1
9839,Ag1Pt1Sr1
9840,Ag1Pt1Sr2
9841,Ag1Pt1Sr2
9842,Ag1Pt2Sr1
9843,Ag1Pt2Sr1
9844,Ag2Pt1Sr1
9845,Ag2Pt1Sr1
9846,Ag1Pt1Ta1
9847,Ag1Pt1Ta1
9848,Ag1Pt1Ta1
9849,Ag1Pt1Ta2
9850,Ag1Pt1Ta2
9851,Ag1Pt2Ta1
9852,Ag1Pt2Ta1
9853,Ag2Pt1Ta1
9854,Ag2Pt1Ta1
9855,Ag1Pt1Tc1
9856,Ag1Pt1Tc1
9857,Ag1Pt1Tc1
9858,Ag1Pt1Tc2
9859,Ag1Pt1Tc2
9860,Ag1Pt2Tc1
9861,Ag1Pt2Tc1
9862,Ag2Pt1Tc1
9863,Ag2Pt1Tc1
9864,Ag1Pt1Te1
9865,Ag1Pt1Te1
9866,Ag1Pt1Te1
9867,Ag1Pt1Te2
9868,Ag1Pt1Te2
9869,Ag1Pt2Te1
9870,Ag1Pt2Te1
9871,Ag2Pt1Te1
9872,Ag2Pt1Te1
9873,Ag1Pt1Ti1
9874,Ag1Pt1Ti1
9875,Ag1Pt1Ti1
9876,Ag1Pt1Ti2
9877,Ag1Pt1Ti2
9878,Ag1Pt2Ti1
9879,Ag1Pt2Ti1
9880,Ag2Pt1Ti1
9881,Ag2Pt1Ti1
9882,Ag1Pt1Tl1
9883,Ag1Pt1Tl1
9884,Ag1Pt1Tl1
9885,Ag1Pt1Tl2
9886,Ag1Pt1Tl2
9887,Ag1Pt2Tl1
9888,Ag1Pt2Tl1
9889,Ag2Pt1Tl1
9890,Ag2Pt1Tl1
9891,Ag1Pt1V1
9892,Ag1Pt1V1
9893,Ag1Pt1V1
9894,Ag1Pt1V2
9895,Ag1Pt1V2
9896,Ag1Pt2V1
9897,Ag1Pt2V1
9898,Ag2Pt1V1
9899,Ag2Pt1V1
9900,Ag1Pt1W1
9901,Ag1Pt1W1
9902,Ag1Pt1W1
9903,Ag1Pt1W2
9904,Ag1Pt1W2
9905,Ag1Pt2W1
9906,Ag1Pt2W1
9907,Ag2Pt1W1
9908,Ag2Pt1W1
9909,Ag1Pt1Y1
9910,Ag1Pt1Y1
9911,Ag1Pt1Y1
9912,Ag1Pt1Y2
9913,Ag1Pt1Y2
9914,Ag1Pt2Y1
9915,Ag1Pt2Y1
9916,Ag2Pt1Y1
9917,Ag2Pt1Y1
9918,Ag1Pt1Zn1
9919,Ag1Pt1Zn1
9920,Ag1Pt1Zn1
9921,Ag1Pt1Zn2
9922,Ag1Pt1Zn2
9923,Ag1Pt2Zn1
9924,Ag1Pt2Zn1
9925,Ag2Pt1Zn1
9926,Ag2Pt1Zn1
9927,Ag1Pt1Zr1
9928,Ag1Pt1Zr1
9929,Ag1Pt1Zr1
9930,Ag1Pt1Zr2
9931,Ag1Pt1Zr2
9932,Ag1Pt2Zr1
9933,Ag1Pt2Zr1
9934,Ag2Pt1Zr1
9935,Ag2Pt1Zr1
9936,Ag1P1V1
9937,Ag1P1V1
9938,Ag1P1V1
9939,Ag1P1V2
9940,Ag1P1V2
9941,Ag1P2V1
9942,Ag1P2V1
9943,Ag2P1V1
9944,Ag2P1V1
9945,Ag1P1W1
9946,Ag1P1W1
9947,Ag1P1W1
9948,Ag1P1W2
9949,Ag1P1W2
9950,Ag1P2W1
9951,Ag1P2W1
9952,Ag2P1W1
9953,Ag2P1W1
9954,Ag4P14W4
9955,Ag4P28W12
9956,Ag1P1Y1
9957,Ag1P1Y1
9958,Ag1P1Y1
9959,Ag1P1Y2
9960,Ag1P1Y2
9961,Ag1P2Y1
9962,Ag1P2Y1
9963,Ag2P1Y1
9964,Ag2P1Y1
9965,Ag2P2Y2
9966,Ag2P2Y2
9967,Ag2P4Y2
9968,Ag2P4Y2
9969,Ag3P3Y3
9970,Ag3P3Y3
9971,Ag3P3Y3
9972,Ag3P3Y3
9973,Ag3P3Y3
9974,Ag3P3Y3
9975,Ag3P3Y3
9976,Ag4P4Y4
9977,Ag4P8Y24
9978,Ag1P1Zn1
9979,Ag1P1Zn1
9980,Ag1P1Zn1
9981,Ag1P1Zn2
9982,Ag1P1Zn2
9983,Ag1P2Zn1
9984,Ag1P2Zn1
9985,Ag1P3Zn1
9986,Ag2P1Zn1
9987,Ag2P1Zn1
9988,Ag1P1Zr1
9989,Ag1P1Zr1
9990,Ag1P1Zr1
9991,Ag1P1Zr2
9992,Ag1P1Zr2
9993,Ag1P2Zr1
9994,Ag1P2Zr1
9995,Ag2P1Zr1
9996,Ag2P1Zr1
9997,Ag28Rb4S16
9998,Ag30Rb6S18
9999,Ag6Rb2S4
10000,Ag8Rb4S6
10001,Ag10Rb2Se6
10002,Ag4Rb4Se16
10003,Ag6Rb2Se4
10004,Ag6Rb2Se10Sm4
10005,Ag6Rb2Se10Sm4
10006,Ag2Rb6Se16Sn6
10007,Ag2Rb6Se16Sn6
10008,Ag2Rb10Se54Ti12
10009,Ag2Rb2Se6U2
10010,Ag2Rb2Se6U2
10011,Ag6Rb3S12Sb3
10012,Ag2Rb4S8Ta2
10013,Ag2Rb2S6U2
10014,Ag6Rb2Te4
10015,Ag1Re1Rh1
10016,Ag1Re1Rh1
10017,Ag1Re1Rh1
10018,Ag1Re1Rh2
10019,Ag1Re1Rh2
10020,Ag1Re2Rh1
10021,Ag1Re2Rh1
10022,Ag2Re1Rh1
10023,Ag2Re1Rh1
10024,Ag1Re1Ru1
10025,Ag1Re1Ru1
10026,Ag1Re1Ru1
10027,Ag1Re1Ru2
10028,Ag1Re1Ru2
10029,Ag1Re2Ru1
10030,Ag1Re2Ru1
10031,Ag2Re1Ru1
10032,Ag2Re1Ru1
10033,Ag1Re1Sb1
10034,Ag1Re1Sb1
10035,Ag1Re1Sb1
10036,Ag1Re1Sb2
10037,Ag1Re1Sb2
10038,Ag1Re2Sb1
10039,Ag1Re2Sb1
10040,Ag2Re1Sb1
10041,Ag2Re1Sb1
10042,Ag1Re1Se1
10043,Ag1Re1Se1
10044,Ag1Re1Se1
10045,Ag1Re1Se2
10046,Ag1Re1Se2
10047,Ag1Re2Se1
10048,Ag1Re2Se1
10049,Ag2Re1Se1
10050,Ag2Re1Se1
10051,Ag1Re1Si1
10052,Ag1Re1Si1
10053,Ag1Re1Si1
10054,Ag1Re1Si2
10055,Ag1Re1Si2
10056,Ag1Re2Si1
10057,Ag1Re2Si1
10058,Ag2Re1Si1
10059,Ag2Re1Si1
10060,Ag1Re1Sn1
10061,Ag1Re1Sn1
10062,Ag1Re1Sn1
10063,Ag1Re1Sn2
10064,Ag1Re1Sn2
10065,Ag1Re2Sn1
10066,Ag1Re2Sn1
10067,Ag2Re1Sn1
10068,Ag2Re1Sn1
10069,Ag1Re1Tc1
10070,Ag1Re1Tc1
10071,Ag1Re1Tc1
10072,Ag1Re1Tc2
10073,Ag1Re1Tc2
10074,Ag1Re2Tc1
10075,Ag1Re2Tc1
10076,Ag2Re1Tc1
10077,Ag2Re1Tc1
10078,Ag1Re1Te1
10079,Ag1Re1Te1
10080,Ag1Re1Te1
10081,Ag1Re1Te2
10082,Ag1Re1Te2
10083,Ag1Re2Te1
10084,Ag1Re2Te1
10085,Ag2Re1Te1
10086,Ag2Re1Te1
10087,Ag1Re1W1
10088,Ag1Re1W1
10089,Ag1Re1W1
10090,Ag1Re1W2
10091,Ag1Re1W2
10092,Ag1Re2W1
10093,Ag1Re2W1
10094,Ag2Re1W1
10095,Ag2Re1W1
10096,Ag1Rh1Ru1
10097,Ag1Rh1Ru1
10098,Ag1Rh1Ru1
10099,Ag1Rh1Ru2
10100,Ag1Rh1Ru2
10101,Ag1Rh2Ru1
10102,Ag1Rh2Ru1
10103,Ag2Rh1Ru1
10104,Ag2Rh1Ru1
10105,Ag4Rh30S30
10106,Ag1Rh1Sb1
10107,Ag1Rh1Sb1
10108,Ag1Rh1Sb1
10109,Ag1Rh1Sb2
10110,Ag1Rh1Sb2
10111,Ag1Rh2Sb1
10112,Ag1Rh2Sb1
10113,Ag2Rh1Sb1
10114,Ag2Rh1Sb1
10115,Ag1Rh1Sc1
10116,Ag1Rh1Sc1
10117,Ag1Rh1Sc1
10118,Ag1Rh1Sc2
10119,Ag1Rh1Sc2
10120,Ag1Rh2Sc1
10121,Ag1Rh2Sc1
10122,Ag2Rh1Sc1
10123,Ag2Rh1Sc1
10124,Ag1Rh1Se1
10125,Ag1Rh1Se1
10126,Ag1Rh1Se1
10127,Ag1Rh1Se2
10128,Ag1Rh1Se2
10129,Ag1Rh2Se1
10130,Ag1Rh2Se1
10131,Ag2Rh1Se1
10132,Ag2Rh1Se1
10133,Ag1Rh1Si1
10134,Ag1Rh1Si1
10135,Ag1Rh1Si1
10136,Ag1Rh1Si2
10137,Ag1Rh1Si2
10138,Ag1Rh2Si1
10139,Ag1Rh2Si1
10140,Ag2Rh1Si1
10141,Ag2Rh1Si1
10142,Ag1Rh1Sn1
10143,Ag1Rh1Sn1
10144,Ag1Rh1Sn1
10145,Ag1Rh1Sn2
10146,Ag1Rh1Sn2
10147,Ag1Rh2Sn1
10148,Ag1Rh2Sn1
10149,Ag2Rh1Sn1
10150,Ag2Rh1Sn1
10151,Ag1Rh1Sr1
10152,Ag1Rh1Sr1
10153,Ag1Rh1Sr1
10154,Ag1Rh1Sr2
10155,Ag1Rh1Sr2
10156,Ag1Rh2Sr1
10157,Ag1Rh2Sr1
10158,Ag2Rh1Sr1
10159,Ag2Rh1Sr1
10160,Ag1Rh1Ta1
10161,Ag1Rh1Ta1
10162,Ag1Rh1Ta1
10163,Ag1Rh1Ta2
10164,Ag1Rh1Ta2
10165,Ag1Rh2Ta1
10166,Ag1Rh2Ta1
10167,Ag2Rh1Ta1
10168,Ag2Rh1Ta1
10169,Ag1Rh1Tc1
10170,Ag1Rh1Tc1
10171,Ag1Rh1Tc1
10172,Ag1Rh1Tc2
10173,Ag1Rh1Tc2
10174,Ag1Rh2Tc1
10175,Ag1Rh2Tc1
10176,Ag2Rh1Tc1
10177,Ag2Rh1Tc1
10178,Ag1Rh1Te1
10179,Ag1Rh1Te1
10180,Ag1Rh1Te1
10181,Ag1Rh1Te2
10182,Ag1Rh1Te2
10183,Ag1Rh2Te1
10184,Ag1Rh2Te1
10185,Ag2Rh1Te1
10186,Ag2Rh1Te1
10187,Ag1Rh1Ti1
10188,Ag1Rh1Ti1
10189,Ag1Rh1Ti1
10190,Ag1Rh1Ti2
10191,Ag1Rh1Ti2
10192,Ag1Rh2Ti1
10193,Ag1Rh2Ti1
10194,Ag2Rh1Ti1
10195,Ag2Rh1Ti1
10196,Ag1Rh1Tl1
10197,Ag1Rh1Tl1
10198,Ag1Rh1Tl1
10199,Ag1Rh1Tl2
10200,Ag1Rh1Tl2
10201,Ag1Rh2Tl1
10202,Ag1Rh2Tl1
10203,Ag2Rh1Tl1
10204,Ag2Rh1Tl1
10205,Ag1Rh1V1
10206,Ag1Rh1V1
10207,Ag1Rh1V1
10208,Ag1Rh1V2
10209,Ag1Rh1V2
10210,Ag1Rh2V1
10211,Ag1Rh2V1
10212,Ag2Rh1V1
10213,Ag2Rh1V1
10214,Ag1Rh1W1
10215,Ag1Rh1W1
10216,Ag1Rh1W1
10217,Ag1Rh1W2
10218,Ag1Rh1W2
10219,Ag1Rh2W1
10220,Ag1Rh2W1
10221,Ag2Rh1W1
10222,Ag2Rh1W1
10223,Ag1Rh1Y1
10224,Ag1Rh1Y1
10225,Ag1Rh1Y1
10226,Ag1Rh1Y2
10227,Ag1Rh1Y2
10228,Ag1Rh2Y1
10229,Ag1Rh2Y1
10230,Ag2Rh1Y1
10231,Ag2Rh1Y1
10232,Ag1Rh1Zn1
10233,Ag1Rh1Zn1
10234,Ag1Rh1Zn1
10235,Ag1Rh1Zn2
10236,Ag1Rh1Zn2
10237,Ag1Rh2Zn1
10238,Ag1Rh2Zn1
10239,Ag2Rh1Zn1
10240,Ag2Rh1Zn1
10241,Ag1Rh1Zr1
10242,Ag1Rh1Zr1
10243,Ag1Rh1Zr1
10244,Ag1Rh1Zr2
10245,Ag1Rh1Zr2
10246,Ag1Rh2Zr1
10247,Ag1Rh2Zr1
10248,Ag2Rh1Zr1
10249,Ag2Rh1Zr1
10250,Ag1Ru1Sb1
10251,Ag1Ru1Sb1
10252,Ag1Ru1Sb1
10253,Ag1Ru1Sb2
10254,Ag1Ru1Sb2
10255,Ag1Ru2Sb1
10256,Ag1Ru2Sb1
10257,Ag2Ru1Sb1
10258,Ag2Ru1Sb1
10259,Ag1Ru1Se1
10260,Ag1Ru1Se1
10261,Ag1Ru1Se1
10262,Ag1Ru1Se2
10263,Ag1Ru1Se2
10264,Ag1Ru2Se1
10265,Ag1Ru2Se1
10266,Ag2Ru1Se1
10267,Ag2Ru1Se1
10268,Ag1Ru1Si1
10269,Ag1Ru1Si1
10270,Ag1Ru1Si1
10271,Ag1Ru1Si2
10272,Ag1Ru1Si2
10273,Ag1Ru2Si1
10274,Ag1Ru2Si1
10275,Ag2Ru1Si1
10276,Ag2Ru1Si1
10277,Ag1Ru1Sn1
10278,Ag1Ru1Sn1
10279,Ag1Ru1Sn1
10280,Ag1Ru1Sn2
10281,Ag1Ru1Sn2
10282,Ag1Ru2Sn1
10283,Ag1Ru2Sn1
10284,Ag2Ru1Sn1
10285,Ag2Ru1Sn1
10286,Ag1Ru1Te1
10287,Ag1Ru1Te1
10288,Ag1Ru1Te1
10289,Ag1Ru1Te2
10290,Ag1Ru1Te2
10291,Ag1Ru2Te1
10292,Ag1Ru2Te1
10293,Ag2Ru1Te1
10294,Ag2Ru1Te1
10295,Ag1Ru1W1
10296,Ag1Ru1W1
10297,Ag1Ru1W1
10298,Ag1Ru1W2
10299,Ag1Ru1W2
10300,Ag1Ru2W1
10301,Ag1Ru2W1
10302,Ag2Ru1W1
10303,Ag2Ru1W1
10304,Ag4S2
10305,Ag4S2
10306,Ag4S2
10307,Ag8S1
10308,Ag8S4
10309,Ag8S4
10310,Ag8S4
10311,Ag8S4
10312,Ag8S4
10313,Ag8S4
10314,Ag8S4
10315,Ag8S4
10316,Ag3Sb1
10317,Ag6Sb2
10318,Ag1Sb1Sc1
10319,Ag1Sb1Sc1
10320,Ag1Sb1Sc1
10321,Ag1Sb1Sc2
10322,Ag1Sb1Sc2
10323,Ag1Sb2Sc1
10324,Ag1Sb2Sc1
10325,Ag2Sb1Sc1
10326,Ag2Sb1Sc1
10327,Ag1Sb1Se1
10328,Ag1Sb1Se1
10329,Ag1Sb1Se1
10330,Ag1Sb1Se2
10331,Ag1Sb1Se2
10332,Ag1Sb2Se1
10333,Ag1Sb2Se1
10334,Ag2Sb1Se1
10335,Ag2Sb1Se1
10336,Ag1Sb1Si1
10337,Ag1Sb1Si1
10338,Ag1Sb1Si1
10339,Ag1Sb1Si2
10340,Ag1Sb1Si2
10341,Ag1Sb2Si1
10342,Ag1Sb2Si1
10343,Ag2Sb1Si1
10344,Ag2Sb1Si1
10345,Ag1Sb1Sn1
10346,Ag1Sb1Sn1
10347,Ag1Sb1Sn1
10348,Ag1Sb1Sn2
10349,Ag1Sb1Sn2
10350,Ag1Sb2Sn1
10351,Ag1Sb2Sn1
10352,Ag2Sb1Sn1
10353,Ag2Sb1Sn1
10354,Ag1Sb1Sr1
10355,Ag1Sb1Sr1
10356,Ag1Sb1Sr1
10357,Ag1Sb1Sr1
10358,Ag1Sb1Sr2
10359,Ag1Sb1Sr2
10360,Ag1Sb2Sr1
10361,Ag1Sb2Sr1
10362,Ag2Sb1Sr1
10363,Ag2Sb1Sr1
10364,Ag2Sb2Sr2
10365,Ag4Sb2Sr1
10366,Ag1Sb1Ta1
10367,Ag1Sb1Ta1
10368,Ag1Sb1Ta1
10369,Ag1Sb1Ta2
10370,Ag1Sb1Ta2
10371,Ag1Sb2Ta1
10372,Ag1Sb2Ta1
10373,Ag2Sb1Ta1
10374,Ag2Sb1Ta1
10375,Ag1Sb1Tc1
10376,Ag1Sb1Tc1
10377,Ag1Sb1Tc1
10378,Ag1Sb1Tc2
10379,Ag1Sb1Tc2
10380,Ag1Sb2Tc1
10381,Ag1Sb2Tc1
10382,Ag2Sb1Tc1
10383,Ag2Sb1Tc1
10384,Ag1Sb1Te1
10385,Ag1Sb1Te1
10386,Ag1Sb1Te1
10387,Ag1Sb1Te2
10388,Ag1Sb1Te2
10389,Ag1Sb1Te2
10390,Ag1Sb1Te2
10391,Ag1Sb1Te2
10392,Ag1Sb2Te1
10393,Ag1Sb2Te1
10394,Ag2Sb1Te1
10395,Ag2Sb1Te1
10396,Ag4Sb4Te8
10397,Ag4Sb4Te8
10398,Ag4Sb4Te8
10399,Ag4Sb4Te8
10400,Ag4Sb4Te8
10401,Ag4Sb4Te8
10402,Ag4Sb4Te8
10403,Ag4Sb4Te8
10404,Ag4Sb4Te8
10405,Ag4Sb4Te8
10406,Ag4Sb4Te8
10407,Ag4Sb4Te8
10408,Ag4Sb4Te8
10409,Ag4Sb4Te8
10410,Ag4Sb4Te8
10411,Ag4Sb4Te8
10412,Ag4Sb4Te8
10413,Ag4Sb4Te8
10414,Ag4Sb4Te8
10415,Ag4Sb4Te8
10416,Ag4Sb4Te8
10417,Ag4Sb4Te8
10418,Ag4Sb4Te8
10419,Ag4Sb4Te8
10420,Ag4Sb4Te8
10421,Ag1Sb1Ti1
10422,Ag1Sb1Ti1
10423,Ag1Sb1Ti1
10424,Ag1Sb1Ti2
10425,Ag1Sb1Ti2
10426,Ag1Sb2Ti1
10427,Ag1Sb2Ti1
10428,Ag2Sb1Ti1
10429,Ag2Sb1Ti1
10430,Ag1Sb1Tl1
10431,Ag1Sb1Tl1
10432,Ag1Sb1Tl1
10433,Ag1Sb1Tl2
10434,Ag1Sb1Tl2
10435,Ag1Sb2Tl1
10436,Ag1Sb2Tl1
10437,Ag2Sb1Tl1
10438,Ag2Sb1Tl1
10439,Ag1Sb1V1
10440,Ag1Sb1V1
10441,Ag1Sb1V1
10442,Ag1Sb1V2
10443,Ag1Sb1V2
10444,Ag1Sb2V1
10445,Ag1Sb2V1
10446,Ag2Sb1V1
10447,Ag2Sb1V1
10448,Ag1Sb1W1
10449,Ag1Sb1W1
10450,Ag1Sb1W1
10451,Ag1Sb1W2
10452,Ag1Sb1W2
10453,Ag1Sb2W1
10454,Ag1Sb2W1
10455,Ag2Sb1W1
10456,Ag2Sb1W1
10457,Ag1Sb1Y1
10458,Ag1Sb1Y1
10459,Ag1Sb1Y1
10460,Ag1Sb1Y2
10461,Ag1Sb1Y2
10462,Ag1Sb2Y1
10463,Ag1Sb2Y1
10464,Ag2Sb1Y1
10465,Ag2Sb1Y1
10466,Ag4Sb4Y4
10467,Ag4Sb4Yb4
10468,Ag1Sb1Zn1
10469,Ag1Sb1Zn1
10470,Ag1Sb1Zn1
10471,Ag1Sb1Zn2
10472,Ag1Sb1Zn2
10473,Ag1Sb2Zn1
10474,Ag1Sb2Zn1
10475,Ag2Sb1Zn1
10476,Ag2Sb1Zn1
10477,Ag1Sb1Zr1
10478,Ag1Sb1Zr1
10479,Ag1Sb1Zr1
10480,Ag1Sb1Zr2
10481,Ag1Sb1Zr2
10482,Ag1Sb2Zr1
10483,Ag1Sb2Zr1
10484,Ag2Sb1Zr1
10485,Ag2Sb1Zr1
10486,Ag2Sb6Zr10
10487,Ag1Sc1Se1
10488,Ag1Sc1Se1
10489,Ag1Sc1Se1
10490,Ag1Sc1Se2
10491,Ag1Sc1Se2
10492,Ag1Sc1Se2
10493,Ag1Sc2Se1
10494,Ag1Sc2Se1
10495,Ag2Sc1Se1
10496,Ag2Sc1Se1
10497,Ag4Sc4Se8
10498,Ag1Sc1Si1
10499,Ag1Sc1Si1
10500,Ag1Sc1Si1
10501,Ag1Sc1Si2
10502,Ag1Sc1Si2
10503,Ag1Sc2Si1
10504,Ag1Sc2Si1
10505,Ag2Sc1Si1
10506,Ag2Sc1Si1
10507,Ag1Sc1Sn1
10508,Ag1Sc1Sn1
10509,Ag1Sc1Sn1
10510,Ag1Sc1Sn2
10511,Ag1Sc1Sn2
10512,Ag1Sc2Sn1
10513,Ag1Sc2Sn1
10514,Ag2Sc1Sn1
10515,Ag2Sc1Sn1
10516,Ag1Sc1Tc1
10517,Ag1Sc1Tc1
10518,Ag1Sc1Tc1
10519,Ag1Sc1Tc2
10520,Ag1Sc1Tc2
10521,Ag1Sc2Tc1
10522,Ag1Sc2Tc1
10523,Ag2Sc1Tc1
10524,Ag2Sc1Tc1
10525,Ag1Sc1Te1
10526,Ag1Sc1Te1
10527,Ag1Sc1Te1
10528,Ag1Sc1Te2
10529,Ag1Sc1Te2
10530,Ag1Sc2Te1
10531,Ag1Sc2Te1
10532,Ag2Sc1Te1
10533,Ag2Sc1Te1
10534,Ag4Sc24Te8
10535,Ag1Sc1Zn1
10536,Ag1Sc1Zn1
10537,Ag1Sc1Zn1
10538,Ag1Sc1Zn2
10539,Ag1Sc1Zn2
10540,Ag1Sc2Zn1
10541,Ag1Sc2Zn1
10542,Ag2Sc1Zn1
10543,Ag2Sc1Zn1
10544,Ag1Se1
10545,Ag1Se1
10546,Ag8Se4
10547,Ag8Se4
10548,Ag8Se4
10549,Ag8Se4
10550,Ag8Se4
10551,Ag1Se1Si1
10552,Ag1Se1Si1
10553,Ag1Se1Si1
10554,Ag1Se1Si2
10555,Ag1Se1Si2
10556,Ag1Se2Si1
10557,Ag1Se2Si1
10558,Ag2Se1Si1
10559,Ag2Se1Si1
10560,Ag16Se12Sn2
10561,Ag16Se12Sn2
10562,Ag1Se1Sn1
10563,Ag1Se1Sn1
10564,Ag1Se1Sn1
10565,Ag1Se1Sn2
10566,Ag1Se1Sn2
10567,Ag1Se2Sn1
10568,Ag1Se2Sn1
10569,Ag2Se1Sn1
10570,Ag2Se1Sn1
10571,Ag1Se1Sr1
10572,Ag1Se1Sr1
10573,Ag1Se1Sr1
10574,Ag1Se1Sr2
10575,Ag1Se1Sr2
10576,Ag1Se2Sr1
10577,Ag1Se2Sr1
10578,Ag2Se1Sr1
10579,Ag2Se1Sr1
10580,Ag1Se1Ta1
10581,Ag1Se1Ta1
10582,Ag1Se1Ta1
10583,Ag1Se1Ta2
10584,Ag1Se1Ta2
10585,Ag1Se2Ta1
10586,Ag1Se2Ta1
10587,Ag2Se1Ta1
10588,Ag2Se1Ta1
10589,Ag2Se4Tb2
10590,Ag1Se1Tc1
10591,Ag1Se1Tc1
10592,Ag1Se1Tc1
10593,Ag1Se1Tc2
10594,Ag1Se1Tc2
10595,Ag1Se2Tc1
10596,Ag1Se2Tc1
10597,Ag2Se1Tc1
10598,Ag2Se1Tc1
10599,Ag1Se1Te1
10600,Ag1Se1Te1
10601,Ag1Se1Te1
10602,Ag1Se1Te2
10603,Ag1Se1Te2
10604,Ag1Se2Te1
10605,Ag1Se2Te1
10606,Ag2Se1Te1
10607,Ag2Se1Te1
10608,Ag1Se1Ti1
10609,Ag1Se1Ti1
10610,Ag1Se1Ti1
10611,Ag1Se1Ti2
10612,Ag1Se1Ti2
10613,Ag1Se2Ti1
10614,Ag1Se2Ti1
10615,Ag2Se1Ti1
10616,Ag2Se1Ti1
10617,Ag2Se54Ti12Tl10
10618,Ag1Se1Tl1
10619,Ag1Se1Tl1
10620,Ag1Se1Tl1
10621,Ag1Se1Tl2
10622,Ag1Se1Tl2
10623,Ag1Se2Tl1
10624,Ag1Se2Tl1
10625,Ag2Se1Tl1
10626,Ag2Se1Tl1
10627,Ag4Se4Tl4
10628,Ag6Se12Tl6
10629,Ag1Se1V1
10630,Ag1Se1V1
10631,Ag1Se1V1
10632,Ag1Se1V2
10633,Ag1Se1V2
10634,Ag1Se2V1
10635,Ag1Se2V1
10636,Ag2Se1V1
